frame,day,entity_type,id,x_position,y_position,fuel_level,state,refuel_point_x,refuel_point_y
15,1,vehicle,1,12.0,19.0,90.5,patrolling,,
15,1,vehicle,2,32.0,10.0,87.0,patrolling,,
15,1,vehicle,3,17.0,33.0,88.0,patrolling,,
15,1,vehicle,4,27.0,26.0,89.5,patrolling,,
15,1,refuel_vehicle,1,0,20,,idle,,
15,1,refuel_vehicle,2,20,0,,idle,,
15,1,refuel_vehicle,3,40,40,,idle,,
15,1,hub,1,0,20,,,,
15,1,hub,2,20,0,,,,
15,1,hub,3,40,40,,,,
16,1,vehicle,1,12.0,19.0,90.5,patrolling,,
16,1,vehicle,2,32.0,11.0,86.5,patrolling,,
16,1,vehicle,3,17.0,32.0,87.5,patrolling,,
16,1,vehicle,4,26.0,26.0,89.0,patrolling,,
16,1,refuel_vehicle,1,0,20,,idle,,
16,1,refuel_vehicle,2,20,0,,idle,,
16,1,refuel_vehicle,3,40,40,,idle,,
16,1,hub,1,0,20,,,,
16,1,hub,2,20,0,,,,
16,1,hub,3,40,40,,,,
17,1,vehicle,1,12.0,19.0,90.5,patrolling,,
17,1,vehicle,2,32.0,13.0,85.5,patrolling,,
17,1,vehicle,3,17.0,33.0,87.0,patrolling,,
17,1,vehicle,4,24.0,26.0,88.0,patrolling,,
17,1,refuel_vehicle,1,0,20,,idle,,
17,1,refuel_vehicle,2,20,0,,idle,,
17,1,refuel_vehicle,3,40,40,,idle,,
17,1,hub,1,0,20,,,,
17,1,hub,2,20,0,,,,
17,1,hub,3,40,40,,,,
18,1,vehicle,1,14.0,19.0,89.5,patrolling,,
18,1,vehicle,2,32.0,14.0,85.0,patrolling,,
18,1,vehicle,3,17.0,34.0,86.5,patrolling,,
18,1,vehicle,4,25.0,26.0,87.5,patrolling,,
18,1,refuel_vehicle,1,0,20,,idle,,
18,1,refuel_vehicle,2,20,0,,idle,,
18,1,refuel_vehicle,3,40,40,,idle,,
18,1,hub,1,0,20,,,,
18,1,hub,2,20,0,,,,
18,1,hub,3,40,40,,,,
19,1,vehicle,1,12.0,19.0,88.5,patrolling,,
19,1,vehicle,2,33.0,14.0,84.5,patrolling,,
19,1,vehicle,3,19.0,34.0,85.5,patrolling,,
19,1,vehicle,4,26.0,26.0,87.0,patrolling,,
19,1,refuel_vehicle,1,0,20,,idle,,
19,1,refuel_vehicle,2,20,0,,idle,,
19,1,refuel_vehicle,3,40,40,,idle,,
19,1,hub,1,0,20,,,,
19,1,hub,2,20,0,,,,
19,1,hub,3,40,40,,,,
20,1,vehicle,1,12.0,19.0,88.5,patrolling,,
20,1,vehicle,2,35.0,14.0,83.5,patrolling,,
20,1,vehicle,3,19.0,34.0,85.5,patrolling,,
20,1,vehicle,4,26.0,24.0,86.0,patrolling,,
20,1,refuel_vehicle,1,0,20,,idle,,
20,1,refuel_vehicle,2,20,0,,idle,,
20,1,refuel_vehicle,3,40,40,,idle,,
20,1,hub,1,0,20,,,,
20,1,hub,2,20,0,,,,
20,1,hub,3,40,40,,,,
21,1,vehicle,1,12.0,18.0,88.0,patrolling,,
21,1,vehicle,2,37.0,14.0,82.5,patrolling,,
21,1,vehicle,3,17.0,34.0,84.5,patrolling,,
21,1,vehicle,4,26.0,25.0,85.5,patrolling,,
21,1,refuel_vehicle,1,0,20,,idle,,
21,1,refuel_vehicle,2,20,0,,idle,,
21,1,refuel_vehicle,3,40,40,,idle,,
21,1,hub,1,0,20,,,,
21,1,hub,2,20,0,,,,
21,1,hub,3,40,40,,,,
22,1,vehicle,1,11.0,18.0,87.5,patrolling,,
22,1,vehicle,2,37.0,16.0,81.5,patrolling,,
22,1,vehicle,3,17.0,35.0,84.0,patrolling,,
22,1,vehicle,4,28.0,25.0,84.5,patrolling,,
22,1,refuel_vehicle,1,0,20,,idle,,
22,1,refuel_vehicle,2,20,0,,idle,,
22,1,refuel_vehicle,3,40,40,,idle,,
22,1,hub,1,0,20,,,,
22,1,hub,2,20,0,,,,
22,1,hub,3,40,40,,,,
23,1,vehicle,1,11.0,19.0,87.0,patrolling,,
23,1,vehicle,2,37.0,17.0,81.0,patrolling,,
23,1,vehicle,3,15.0,35.0,83.0,patrolling,,
23,1,vehicle,4,30.0,25.0,83.5,patrolling,,
23,1,refuel_vehicle,1,0,20,,idle,,
23,1,refuel_vehicle,2,20,0,,idle,,
23,1,refuel_vehicle,3,40,40,,idle,,
23,1,hub,1,0,20,,,,
23,1,hub,2,20,0,,,,
23,1,hub,3,40,40,,,,
24,1,vehicle,1,12.0,19.0,86.5,patrolling,,
24,1,vehicle,2,37.0,19.0,80.0,patrolling,,
24,1,vehicle,3,17.0,35.0,82.0,patrolling,,
24,1,vehicle,4,30.0,23.0,82.5,patrolling,,
24,1,refuel_vehicle,1,0,20,,idle,,
24,1,refuel_vehicle,2,20,0,,idle,,
24,1,refuel_vehicle,3,40,40,,idle,,
24,1,hub,1,0,20,,,,
24,1,hub,2,20,0,,,,
24,1,hub,3,40,40,,,,
25,1,vehicle,1,12.0,18.0,86.0,patrolling,,
25,1,vehicle,2,39.0,19.0,79.0,patrolling,,
25,1,vehicle,3,17.0,34.0,81.5,patrolling,,
